ids,names
http://www.wikidata.org/entity/Q93885721,Dorv
http://www.wikidata.org/entity/Q97016491,Dee Dee Skyes
http://www.wikidata.org/entity/Q97516200,Brigitte Fitzgerald
http://www.wikidata.org/entity/Q99477435,Amber Moore
http://www.wikidata.org/entity/Q107015335,Blue Falcon
http://www.wikidata.org/entity/Q14166042,Cashmere
http://www.wikidata.org/entity/Q14174432,Beetee
http://www.wikidata.org/entity/Q14175717,Marvel
http://www.wikidata.org/entity/Q1423458,Mothra
http://www.wikidata.org/entity/Q14430796,Thresh
http://www.wikidata.org/entity/Q14905943,Fat Lady
http://www.wikidata.org/entity/Q1654171,Kitana
http://www.wikidata.org/entity/Q2327711,Geriatrix
http://www.wikidata.org/entity/Q2715128,Londo Mollari
http://www.wikidata.org/entity/Q3182850,Johnny 5
http://www.wikidata.org/entity/Q3267424,Gort
http://www.wikidata.org/entity/Q3306847,G'Kar
http://www.wikidata.org/entity/Q43024500,Unikitty
http://www.wikidata.org/entity/Q547612,Mera
http://www.wikidata.org/entity/Q601244,Guile
http://www.wikidata.org/entity/Q61996851,Vina
http://www.wikidata.org/entity/Q65016702,Korrd
http://www.wikidata.org/entity/Q74183885,Mingojerry Rample
http://www.wikidata.org/entity/Q83386675,Skroob
http://www.wikidata.org/entity/Q83985013,Krang
http://www.wikidata.org/entity/Q850685,Bucky
http://www.wikidata.org/entity/Q937394,Thufir Hawat
http://www.wikidata.org/entity/Q93859608,Uba
http://www.wikidata.org/entity/Q93861220,Brac
http://www.wikidata.org/entity/Q93861221,Grev
http://www.wikidata.org/entity/Q93883799,Goov
http://www.wikidata.org/entity/Q93883800,Droog
http://www.wikidata.org/entity/Q93884063,Groob
http://www.wikidata.org/entity/Q93885718,Borg
http://www.wikidata.org/entity/Q93885723,Crug
http://www.wikidata.org/entity/Q93885727,Igra
http://www.wikidata.org/entity/Q103556075,Simon Mollison
http://www.wikidata.org/entity/Q103557172,Maggie Mollison
http://www.wikidata.org/entity/Q104532755,Pamela Isley
http://www.wikidata.org/entity/Q14165982,Gloss
http://www.wikidata.org/entity/Q14166334,Johanna Mason
http://www.wikidata.org/entity/Q14432000,Mrs. Everdeen
http://www.wikidata.org/entity/Q16182993,Kaworu Nagisa
http://www.wikidata.org/entity/Q16547774,Tinker Sawyer
http://www.wikidata.org/entity/Q20743152,Mees Kees
http://www.wikidata.org/entity/Q21043003,Hugo
http://www.wikidata.org/entity/Q2215492,Ferb Fletcher
http://www.wikidata.org/entity/Q24022584,Vision
http://www.wikidata.org/entity/Q2566445,Ayla
http://www.wikidata.org/entity/Q3439796,King Triton
http://www.wikidata.org/entity/Q3754109,Fujiko Mine
http://www.wikidata.org/entity/Q37983509,Dreus
http://www.wikidata.org/entity/Q42650984,Alana
http://www.wikidata.org/entity/Q76802913,Ch’rell
http://www.wikidata.org/entity/Q899262,Michael Novotny
http://www.wikidata.org/entity/Q93852790,Creb
http://www.wikidata.org/entity/Q93858488,Ebra
http://www.wikidata.org/entity/Q93861257,Uka
http://www.wikidata.org/entity/Q93861679,Ovra
http://www.wikidata.org/entity/Q93882559,Grod
http://www.wikidata.org/entity/Q93883802,Vorn
http://www.wikidata.org/entity/Q93885725,Ika
http://www.wikidata.org/entity/Q206818,Gimli
http://www.wikidata.org/entity/Q28466647,Maik Klingenberg
http://www.wikidata.org/entity/Q302186,Beast
http://www.wikidata.org/entity/Q3817383,Frank Poole
http://www.wikidata.org/entity/Q93843595,Iza
http://www.wikidata.org/entity/Q93857241,Brun
