ids,names
http://www.wikidata.org/entity/Q12405808,Dikla
http://www.wikidata.org/entity/Q12410459,Eran Zur
http://www.wikidata.org/entity/Q1252306,Douglas Gamley
http://www.wikidata.org/entity/Q12582742,Dalpalan
http://www.wikidata.org/entity/Q12587385,Kim Mi-hui
http://www.wikidata.org/entity/Q12604949,Hyun-jung Shim
http://www.wikidata.org/entity/Q1261023,Jack Yellen
http://www.wikidata.org/entity/Q12611257,Lee Dong-jun
http://www.wikidata.org/entity/Q12612510,Lee Jae-hak
http://www.wikidata.org/entity/Q1263143,Ana Stanić
http://www.wikidata.org/entity/Q1263451,Mikołaj Trzaska
http://www.wikidata.org/entity/Q1266173,Willy Reiber
http://www.wikidata.org/entity/Q1268149,Gabriele Crisanti
http://www.wikidata.org/entity/Q1269303,Dyson Lovell
http://www.wikidata.org/entity/Q1273413,Alfi Kabiljo
http://www.wikidata.org/entity/Q1273746,Jeff Gibbs
http://www.wikidata.org/entity/Q12787283,Danijel Hočevar
http://www.wikidata.org/entity/Q12796874,Mitja Vrhovnik Smrekar
http://www.wikidata.org/entity/Q1280870,Momčilo Bajagić Bajaga
http://www.wikidata.org/entity/Q12809043,Cem Erman
http://www.wikidata.org/entity/Q1281750,Meredith Willson
http://www.wikidata.org/entity/Q12846720,Tural Asadov
http://www.wikidata.org/entity/Q1287983,Jimmy Webb
http://www.wikidata.org/entity/Q1291254,Tom Daly
http://www.wikidata.org/entity/Q1291670,Edward Bates
http://www.wikidata.org/entity/Q1292620,Edward J. Kay
http://www.wikidata.org/entity/Q1294396,Edwin Astley
http://www.wikidata.org/entity/Q1298917,Werner Wirsing
http://www.wikidata.org/entity/Q1300310,Jonas Dornbach
http://www.wikidata.org/entity/Q1313523,Frank McCarthy
http://www.wikidata.org/entity/Q1315512,Keith Forsey
http://www.wikidata.org/entity/Q1317748,Martial Solal
http://www.wikidata.org/entity/Q13218079,Anton Melnik
http://www.wikidata.org/entity/Q132433,Yuki Kajiura
http://www.wikidata.org/entity/Q132682,Modest Petrovich Mussorgsky
http://www.wikidata.org/entity/Q1329572,Elio Scardamaglia
http://www.wikidata.org/entity/Q1334042,Trevor Morris
http://www.wikidata.org/entity/Q13379376,Michel Petrossian
http://www.wikidata.org/entity/Q1338398,Emmanuel Schotté
http://www.wikidata.org/entity/Q13399810,Antonio Musu
http://www.wikidata.org/entity/Q1340101,Floros Floridis
http://www.wikidata.org/entity/Q1341089,Milan Kymlicka
http://www.wikidata.org/entity/Q1344063,Waddy Wachtel
http://www.wikidata.org/entity/Q1344075,Günther Fischer
http://www.wikidata.org/entity/Q1345526,Tom Russell
http://www.wikidata.org/entity/Q1346079,Enzo Doria
http://www.wikidata.org/entity/Q1347182,Rupert Hine
http://www.wikidata.org/entity/Q1347326,Page Hamilton
http://www.wikidata.org/entity/Q1347414,Milton H. Greene
http://www.wikidata.org/entity/Q1347993,Stavros Xarchakos
http://www.wikidata.org/entity/Q1349883,Louis Sclavis
http://www.wikidata.org/entity/Q1350758,Flood
http://www.wikidata.org/entity/Q13522534,Barnaby Thompson
http://www.wikidata.org/entity/Q1354267,Julian Nott
http://www.wikidata.org/entity/Q135570,Akira Ifukube
http://www.wikidata.org/entity/Q1356952,Fabio Vacchi
http://www.wikidata.org/entity/Q13569948,Jukka Immonen
http://www.wikidata.org/entity/Q1357516,Vyacheslav Ovchinnikov
http://www.wikidata.org/entity/Q1358202,Ludwig Göransson
http://www.wikidata.org/entity/Q13605267,Marc Jordan
http://www.wikidata.org/entity/Q1361541,Stephen Warbeck
http://www.wikidata.org/entity/Q1362232,Renaud Garcia-Fons
http://www.wikidata.org/entity/Q13635614,Olivier Delbosc
http://www.wikidata.org/entity/Q1363942,Wolfram Spyra
http://www.wikidata.org/entity/Q1366574,Isaac Schwartz
http://www.wikidata.org/entity/Q1367152,Pascal Comelade
http://www.wikidata.org/entity/Q1367973,Roy Webb
http://www.wikidata.org/entity/Q1368185,John P. Hammond
http://www.wikidata.org/entity/Q1372074,Josh Ritter
http://www.wikidata.org/entity/Q1373294,Geoff Barrow
http://www.wikidata.org/entity/Q1374400,Gerald Green
http://www.wikidata.org/entity/Q1374446,Louis Gruenberg
http://www.wikidata.org/entity/Q1375119,Robert Charles Winthrop
http://www.wikidata.org/entity/Q137739,George Antheil
http://www.wikidata.org/entity/Q1378443,Phil Palmer
http://www.wikidata.org/entity/Q1379985,Michael Relph
http://www.wikidata.org/entity/Q1381033,Raymond Lefèvre
http://www.wikidata.org/entity/Q1382495,Kevin Shields
http://www.wikidata.org/entity/Q1382704,Gil Mellé
http://www.wikidata.org/entity/Q1383565,Alexi Murdoch
http://www.wikidata.org/entity/Q1386443,Nathan Larson
http://www.wikidata.org/entity/Q1387009,Hugo Montenegro
http://www.wikidata.org/entity/Q1387810,Leszek Możdżer
http://www.wikidata.org/entity/Q1388059,Henri Crolla
http://www.wikidata.org/entity/Q1388198,Gordon Jenkins
http://www.wikidata.org/entity/Q13894,Richard Strauss
http://www.wikidata.org/entity/Q1390297,Fabian Römer
http://www.wikidata.org/entity/Q1390856,Paolo Fresu
http://www.wikidata.org/entity/Q139121,Flying Lotus
http://www.wikidata.org/entity/Q139223,Peter Maxwell Davies
http://www.wikidata.org/entity/Q1395417,Vilayat Khan
