LInk,Property,Property_pastedval,Name of Relation,In movie
http://www.wikidata.org/prop/direct/P527,,has part(s)(P527),P527,FALSE
http://www.wikidata.org/prop/direct/P530,,diplomatic relation(P530),P530,FALSE
http://www.wikidata.org/prop/direct/P551,,residence(P551),P551,FALSE
http://www.wikidata.org/prop/direct/P607,,conflict(P607),P607,FALSE
http://www.wikidata.org/prop/direct/P629,,edition or translation of(P629),P629,FALSE
http://www.wikidata.org/prop/direct/P641,sport(P641),sport(P641),P641,FALSE
http://www.wikidata.org/prop/direct/P669,,located on street(P669),P669,FALSE
http://www.wikidata.org/prop/direct/P674,,characters(P674),P674,FALSE
http://www.wikidata.org/prop/direct/P706,,located in/on physical feature(P706),P706,FALSE
http://www.wikidata.org/prop/direct/P710,,participant(P710),P710,FALSE
http://www.wikidata.org/prop/direct/P725,,voice actor,P725,TRUE
http://www.wikidata.org/prop/direct/P735,,given name(P735),P735,FALSE
http://www.wikidata.org/prop/direct/P737,,influenced by(P737),P737,FALSE
http://www.wikidata.org/prop/direct/P740,,location of formation(P740),P740,FALSE
http://www.wikidata.org/prop/direct/P747,,has edition or translation(P747),P747,FALSE
http://www.wikidata.org/prop/direct/P749,,parent organization(P749),P749,FALSE
http://www.wikidata.org/prop/direct/P750,,distributed by(P750),P750,TRUE
http://www.wikidata.org/prop/direct/P767,,contributor to the creative work or subject(P767),P767,FALSE
http://www.wikidata.org/prop/direct/P793,,significant event(P793),P793,TRUE
http://www.wikidata.org/prop/direct/P800,,notable work(P800),P800,FALSE
http://www.wikidata.org/prop/direct/P802,,student(P802),P802,FALSE
http://www.wikidata.org/prop/direct/P825,,dedicated to(P825),P825,FALSE
http://www.wikidata.org/prop/direct/P828,,has cause(P828),P828,FALSE
http://www.wikidata.org/prop/direct/P832,,public holiday(P832),P832,FALSE
http://www.wikidata.org/prop/direct/P840,,narrative location(P840),P840,TRUE
http://www.wikidata.org/prop/direct/P915,,filming location(P915),P915,TRUE
http://www.wikidata.org/prop/direct/P921,,main subject(P921),P921,TRUE
http://www.wikidata.org/prop/direct/P931,,place served by transport hub(P931),P931,FALSE
http://www.wikidata.org/prop/direct/P937,,work location(P937),P937,FALSE
http://www.wikidata.org/prop/direct/P941,,inspired by(P941),P941,FALSE
http://www.wikidata.org/prop/direct/P945,,allegiance(P945),P945,FALSE
http://www.wikidata.org/prop/direct/P1001,,applies to jurisdiction(P1001),P1001,FALSE
http://www.wikidata.org/prop/direct/P1027,,conferred by(P1027),P1027,FALSE
http://www.wikidata.org/prop/direct/P1029,crew member(s)(P1029),crew member(s)(P1029),P1029,FALSE
http://www.wikidata.org/prop/direct/P1037,,director / manager(P1037),P1037,FALSE
http://www.wikidata.org/prop/direct/P1038,relative(P1038),relative(P1038),P1038,FALSE
http://www.wikidata.org/prop/direct/P1040,,film editor(P1040),P1040,TRUE
http://www.wikidata.org/prop/direct/P1050,medical condition(P1050),medical condition(P1050),P1050,FALSE
http://www.wikidata.org/prop/direct/P1056,,product or material produced(P1056),P1056,FALSE
http://www.wikidata.org/prop/direct/P1066,,student of(P1066),P1066,FALSE
http://www.wikidata.org/prop/direct/P1080,,from narrative universe(P1080),P1080,FALSE
http://www.wikidata.org/prop/direct/P1142,,political ideology(P1142),P1142,FALSE
http://www.wikidata.org/prop/direct/P1165,,home world(P1165),P1165,FALSE
http://www.wikidata.org/prop/direct/P1196,,manner of death(P1196),P1196,FALSE
http://www.wikidata.org/prop/direct/P1269,,facet of(P1269),P1269,FALSE
http://www.wikidata.org/prop/direct/P1299,,depicted by(P1299),P1299,FALSE
http://www.wikidata.org/prop/direct/P1327,,partner in business or sport(P1327),P1327,FALSE
http://www.wikidata.org/prop/direct/P1343,,described by source(P1343),P1343,FALSE
http://www.wikidata.org/prop/direct/P1344,,participant in(P1344),P1344,FALSE
http://www.wikidata.org/prop/direct/P1346,,winner(P1346),P1346,FALSE
http://www.wikidata.org/prop/direct/P1365,,replaces(P1365),P1365,FALSE
http://www.wikidata.org/prop/direct/P1366,,replaced by(P1366),P1366,FALSE
http://www.wikidata.org/prop/direct/P1376,,capital of(P1376),P1376,FALSE
http://www.wikidata.org/prop/direct/P1382,,partially coincident with(P1382),P1382,FALSE
http://www.wikidata.org/prop/direct/P1399,#N/A,convicted of(P1399),P1399,FALSE
http://www.wikidata.org/prop/direct/P1411,,nominated for(P1411),P1411,TRUE
http://www.wikidata.org/prop/direct/P1412,#N/A,"languages spoken, written or signed(P1412)",P1412,FALSE
http://www.wikidata.org/prop/direct/P1416,,affiliation(P1416),P1416,FALSE
http://www.wikidata.org/prop/direct/P1429,,has pet(P1429),P1429,FALSE
http://www.wikidata.org/prop/direct/P1431,,executive producer(P1431),P1431,TRUE
http://www.wikidata.org/prop/direct/P1433,published in(P1433),published in(P1433),P1433,FALSE
http://www.wikidata.org/prop/direct/P1434,,takes place in fictional universe(P1434),P1434,FALSE
http://www.wikidata.org/prop/direct/P1441,,present in work(P1441),P1441,FALSE
http://www.wikidata.org/prop/direct/P1445,,fictional universe described in(P1445),P1445,FALSE
http://www.wikidata.org/prop/direct/P1455,,list of works(P1455),P1455,FALSE
http://www.wikidata.org/prop/direct/P1532,,country for sport(P1532),P1532,FALSE
http://www.wikidata.org/prop/direct/P1542,,has effect(P1542),P1542,FALSE
http://www.wikidata.org/prop/direct/P1552,,has quality(P1552),P1552,TRUE
http://www.wikidata.org/prop/direct/P1576,,lifestyle(P1576),P1576,FALSE
http://www.wikidata.org/prop/direct/P1589,,lowest point(P1589),P1589,FALSE
http://www.wikidata.org/prop/direct/P1657,,MPA film rating(P1657),P1657,TRUE
http://www.wikidata.org/prop/direct/P1809,,choreographer(P1809),P1809,FALSE
http://www.wikidata.org/prop/direct/P1830,,owner of(P1830),P1830,FALSE
http://www.wikidata.org/prop/direct/P1875,,represented by(P1875),P1875,FALSE
http://www.wikidata.org/prop/direct/P1877,,after a work by(P1877),P1877,TRUE
http://www.wikidata.org/prop/direct/P1889,,different from(P1889),P1889,TRUE
http://www.wikidata.org/prop/direct/P1981,,FSK film rating(P1981),P1981,TRUE
http://www.wikidata.org/prop/direct/P1995,,health specialty(P1995),P1995,FALSE
http://www.wikidata.org/prop/direct/P2061,,aspect ratio (W:H)(P2061),P2061,TRUE
http://www.wikidata.org/prop/direct/P2079,,fabrication method(P2079),P2079,FALSE
http://www.wikidata.org/prop/direct/P2283,,uses(P2283),P2283,FALSE
http://www.wikidata.org/prop/direct/P2341,,indigenous to(P2341),P2341,FALSE
http://www.wikidata.org/prop/direct/P2348,,time period(P2348),P2348,FALSE
http://www.wikidata.org/prop/direct/P2360,,intended public(P2360),P2360,TRUE
http://www.wikidata.org/prop/direct/P2363,,NMHH film rating(P2363),P2363,TRUE
http://www.wikidata.org/prop/direct/P2408,,set in period(P2408),P2408,TRUE
http://www.wikidata.org/prop/direct/P2416,,sports discipline competed in(P2416),P2416,FALSE
http://www.wikidata.org/prop/direct/P2438,,narrator(P2438),P2438,TRUE
http://www.wikidata.org/prop/direct/P2515,,costume designer(P2515),P2515,TRUE
http://www.wikidata.org/prop/direct/P2541,,operating area(P2541),P2541,FALSE
http://www.wikidata.org/prop/direct/P2546,,sidekick of(P2546),P2546,FALSE
http://www.wikidata.org/prop/direct/P2554,,production designer(P2554),P2554,TRUE
http://www.wikidata.org/prop/direct/P2563,,superhuman feature or ability(P2563),P2563,FALSE
http://www.wikidata.org/prop/direct/P2629,,BBFC rating(P2629),P2629,FALSE
http://www.wikidata.org/prop/direct/P2632,,place of detention(P2632),P2632,FALSE
http://www.wikidata.org/prop/direct/P2637,,RARS rating(P2637),P2637,FALSE
http://www.wikidata.org/prop/direct/P2650,,interested in(P2650),P2650,FALSE
http://www.wikidata.org/prop/direct/P2684,,Kijkwijzer rating(P2684),P2684,FALSE
http://www.wikidata.org/prop/direct/P2747,Filmiroda rating(P2747),Filmiroda rating(P2747),P2747,TRUE
http://www.wikidata.org/prop/direct/P2756,,EIRIN film rating(P2756),P2756,TRUE
http://www.wikidata.org/prop/direct/P2758,,CNC film rating (France)(P2758),P2758,TRUE
http://www.wikidata.org/prop/direct/P2860,,cites work(P2860),P2860,FALSE
http://www.wikidata.org/prop/direct/P2936,,language used(P2936),P2936,FALSE
http://www.wikidata.org/prop/direct/P3092,,film crew member(P3092),P3092,FALSE
http://www.wikidata.org/prop/direct/P3095,,practiced by(P3095),P3095,FALSE
http://www.wikidata.org/prop/direct/P3156,,Australian Classification(P3156),P3156,FALSE
http://www.wikidata.org/prop/direct/P3174,,art director(P3174),P3174,FALSE
http://www.wikidata.org/prop/direct/P3216,,ClassInd rating(P3216),P3216,FALSE
http://www.wikidata.org/prop/direct/P3275,,storyboard artist(P3275),P3275,FALSE
http://www.wikidata.org/prop/direct/P3300,,musical conductor(P3300),P3300,FALSE
http://www.wikidata.org/prop/direct/P3301,,broadcast by(P3301),P3301,FALSE
http://www.wikidata.org/prop/direct/P3306,,ICAA rating(P3306),P3306,FALSE
http://www.wikidata.org/prop/direct/P3342,,significant person(P3342),P3342,FALSE
http://www.wikidata.org/prop/direct/P3373,,sibling(P3373),P3373,FALSE
http://www.wikidata.org/prop/direct/P3402,,CNC film rating (Romania)(P3402),P3402,FALSE
http://www.wikidata.org/prop/direct/P3428,,INCAA film rating(P3428),P3428,TRUE
http://www.wikidata.org/prop/direct/P3448,,stepparent(P3448),P3448,FALSE
http://www.wikidata.org/prop/direct/P3650,,JMK film rating(P3650),P3650,TRUE
http://www.wikidata.org/prop/direct/P3803,,original film format(P3803),P3803,FALSE
http://www.wikidata.org/prop/direct/P3818,,KMRB film rating(P3818),P3818,TRUE
http://www.wikidata.org/prop/direct/P3834,,RTC film rating(P3834),P3834,TRUE
http://www.wikidata.org/prop/direct/P3842,,located in the present-day administrative territorial entity(P3842),P3842,FALSE
http://www.wikidata.org/prop/direct/P3931,,copyright holder(P3931),P3931,FALSE
http://www.wikidata.org/prop/direct/P4437,,FPB rating(P4437),P4437,TRUE
http://www.wikidata.org/prop/direct/P4584,,first appearance(P4584),P4584,FALSE
