,ID,predicate,list
234,P7327,oflc classification,"['oflc', 'classification']"
235,P7573,ifco rating,"['ifco', 'rating']"
236,P7936,business model,"['business', 'model']"
237,P7937,form of creative work,"['form', 'creative', 'work']"
238,P7959,historic county,"['historic', 'county']"
239,P8345,media franchise,"['media', 'franchise']"
240,P8371,"references work, tradition or theory","['references', 'work,', 'tradition', 'theory']"
241,P8411,set in environment,"['set', 'environment']"
242,P8670,character designer,"['character', 'designer']"
243,P8874,hong kong film rating,"['hong', 'kong', 'film', 'rating']"
244,P8889,mtrcb rating,"['mtrcb', 'rating']"
245,P9086,bamid film rating,"['bamid', 'film', 'rating']"
246,P9215,set during recurring event,"['set', 'recurring', 'event']"
247,P577,publication date,"['publication', 'date']"
248,tag,nan,['nan']
249,P2758,cnc film rating (france),"['cnc', 'film', 'rating', '(france)']"
250,P2142,box office,"['box', 'office']"
251,description,nan,['nan']
252,P1029,crew member(s),"['crew', 'member(s)']"
253,rdf-schema#label,nan,['nan']
254,P3402,cnc film rating (romania),"['cnc', 'film', 'rating', '(romania)']"
255,P527,has part(s),['part(s)']
256,P18,image,['image']
257,P156,followed by,['followed']
258,P345,imdb id,"['imdb', 'id']"
259,P2061,aspect ratio (w:h),"['aspect', 'ratio', '(w:h)']"
260,P1476,title,['title']
261,P162,producer,['producer']
262,P3383,film poster,"['film', 'poster']"
263,P10,video,['video']
264,P86,composer,['composer']
265,P1881,list of characters,"['list', 'characters']"
266,P406,soundtrack release,"['soundtrack', 'release']"
267,P2208,average shot length,"['average', 'shot', 'length']"
268,P1638,working title,"['working', 'title']"
269,P2130,cost,['cost']
270,P2047,duration,['duration']
271,P444,review score,"['review', 'score']"
272,P6657,chvrs classification,"['chvrs', 'classification']"
